pregnancy.day,sow,foetus,sex,weight,BPD_1,BPD_2,CVD_1,CVD_2,ROL_1,ROL_2,AC_1,AC_2,ASD_1,ASD_2,ATD_1,ATD_2,HL_1,HL_2
79,5,6,m,260,2.86,2.9,1,1.04,6.47,6.34,14.76,14.7,4.96,4.83,4.56,4.29,2.14,2.02
79,5,8,m,320,3.31,3.34,1.08,1.09,6.96,6.93,14.68,14.54,5.25,5.27,3.75,3.9,2.03,2.09
79,5,10,m,320,3.14,3.16,1.34,1.33,6.61,6.59,16.23,16.3,5.35,5.11,4.94,4.86,2.15,2.12
79,5,14,m,360,3.41,3.36,1.19,1.17,6.66,6.68,16.14,16.62,5.23,5.33,5.05,4.98,2.01,2.06
79,5,15,m,340,3.28,3.25,1.11,1.15,6.74,6.75,16.39,16.27,5.39,5.38,4.87,4.94,1.9,2.02
79,5,16,m,380,3.1,3.12,1.04,1,6.9,6.85,16.54,16.91,5.51,5.53,4.79,5,2.17,2.23
79,6,2,m,370,3.14,3.17,1.1,1.08,6.95,7.02,16.52,16.89,5.53,5.76,4.64,4.74,2.02,2.03
79,6,3,m,440,2.95,2.95,1.26,1.21,7.05,6.96,18.05,17.91,5.39,5.59,5.6,5.51,2.02,2.04
79,6,5,m,560,3.34,3.34,1.32,1.3,7.64,7.5,18.31,19.08,5.94,6.39,5.6,5.84,2.34,2.33
79,6,6,m,440,3.15,3.18,1.39,1.24,7.17,7.14,17.48,17.24,5.57,5.57,5.39,5.31,2.15,2.18
79,6,7,m,450,3.44,3.41,1.34,1.3,7,7.07,17.03,17.36,5.71,5.72,4.97,5.35,2.28,2.31
79,6,9,m,510,3.53,3.35,1.43,1.47,7.32,7.74,19.42,19.26,6.06,6.06,5.16,5.27,2.52,2.6
92,7,1,m,750,4.12,3.83,1.38,1.38,8.44,8.45,21.51,21.27,6.78,6.84,6.06,6.18,2.66,2.65
92,7,6,m,480,3.66,3.64,1.28,1.24,7.87,7.83,18.65,18.35,6.33,6.17,5.64,5.68,2.36,2.31
92,7,7,m,440,3.7,3.64,1.21,1.19,7.87,7.83,18.48,18.42,5.99,6.14,5.31,5.71,2.42,2.39
92,7,8,m,490,3.09,3.09,1.39,1.24,8.04,8.01,19.09,18.86,6.44,6.18,4.61,4.91,2.54,2.7
92,7,9,m,780,3.92,3.84,1.24,1.2,8.41,8.3,20.75,21.76,6.91,7.02,6.16,6.17,2.71,2.67
92,7,10,m,660,3.52,3.44,1.19,1.21,7.77,7.78,21.23,21.11,7.12,7.01,6.07,6.29,2.57,2.53
92,7,11,m,810,3.57,3.81,1.33,1.31,8.54,8.4,22.07,22.16,7.31,7.27,6.46,6.56,2.72,2.52
92,7,12,m,530,3.32,3.42,1.07,1.16,7.98,8.09,18.96,19,6.44,6.41,5.2,5.1,2.54,2.5
92,7,13,m,560,3.42,3.78,1.19,1.15,7.95,8.06,19.96,19.97,6.32,6.51,5.51,5.12,2.38,2.27
92,7,14,m,750,4.04,3.97,1.4,1.32,8.13,8.08,21.68,20.69,7.31,6.98,5.46,5.51,2.52,2.58
64,8,2,m,194.4,2.66,2.76,1.01,1.05,4.99,5.07,13.28,13.47,4.02,4.65,4.5,4.05,2.28,2.4
64,8,7,m,207.6,2.9,2.86,1.31,1.11,5.18,5.19,13.98,14.51,4.99,5.01,4.01,4.06,1.9,1.92
64,8,8,m,124.5,2.55,2.48,1.08,1.12,4.97,4.98,11.71,12.46,2.99,3.26,4.35,4.57,1.64,1.6
64,8,9,m,214.1,2.72,2.74,1.15,1.19,5.51,5.37,13.64,14.04,4.5,5.01,3.78,3.84,1.94,2.08
92,9,1,m,520,3.54,3.67,1.35,1.24,7.46,7.88,19.21,19.06,5.95,6.04,4.98,5,2.62,2.34
92,9,3,m,430,3.78,3.67,1.26,1.21,7.62,7.5,17.91,18.76,6.1,6.26,4.91,4.98,2.78,2.88
92,9,7,m,500,3.39,3.34,1.28,1.2,7.82,7.84,18.97,19.27,6.29,6.8,5.05,5.27,2.62,2.63
92,9,8,m,660,3.64,3.73,1.13,1.21,8.24,8.36,20.87,20.63,6.83,6.94,6.66,6.27,2.56,2.69
92,9,12,m,760,3.75,3.79,1.28,1.34,8.17,8.1,21.2,21.04,7.03,7.22,6.36,6.44,2.46,2.89
92,9,16,m,770,3.45,3.43,1.49,1.35,8.54,8.56,21.22,21.11,6.82,6.86,5.62,5.64,2.58,2.94
50,11,1,m,44.5,1.67,1.63,0.58,0.61,3.3,3.39,8.77,8.67,2.94,2.96,2.49,2.57,1.06,1.05
50,11,6,m,44.8,1.72,1.73,0.7,0.69,3.24,3.11,9.08,9.09,3.14,3.04,2.47,2.41,1.09,1.04
50,11,10,m,45.8,1.73,1.69,0.7,0.69,3.57,3.41,9.06,8.62,2.98,2.87,2.65,2.53,1.1,1.12
50,11,11,m,48.6,1.74,1.72,0.67,0.67,3.2,3.41,9.02,8.96,3.1,3.13,2.46,2.4,1.05,1.04
50,11,12,m,45.5,1.76,1.71,0.8,0.85,3.6,3.44,9.49,9.03,3.14,2.96,2.69,2.65,1.05,1.01
50,11,13,m,47.6,1.68,1.7,0.64,0.69,3.43,3.54,9.03,9.1,2.99,3.23,2.59,2.36,1.04,1.12
50,11,14,m,39.2,1.66,1.72,0.67,0.62,3.22,3.08,8.81,8.66,3.09,2.93,2.44,2.32,1.08,1.15
50,11,15,m,42.9,1.71,1.69,0.64,0.63,3.74,3.64,8.85,8.53,2.95,3.02,2.41,2.36,1.14,1.16
50,11,16,m,46.2,1.72,1.81,0.67,0.63,3.42,3.58,8.92,8.74,3.07,3.11,2.25,2.34,1.16,1.11
50,14,1,m,42.75,1.81,1.8,0.617,0.681,3.58,3.49,9.01,9.2,3,3.09,2.53,2.58,1.16,1.17
50,14,2,m,47.06,1.85,1.83,0.592,0.542,3.43,3.24,9.41,9.69,3.21,3.4,2.68,2.72,1.29,1.29
50,14,3,m,43.13,1.78,1.8,0.644,0.613,3.47,3.29,9.31,9.12,3.11,3.02,2.7,2.68,1.18,1.23
50,14,4,m,50.6,1.81,1.82,0.64,0.645,3.39,3.59,9.56,9.6,3,3.13,2.86,2.91,1.23,1.23
50,14,6,m,45.61,1.83,1.79,0.724,0.69,3.5,3.59,9.15,9.2,3.16,3.11,2.57,2.62,1.34,1.35
50,14,9,m,41.45,1.7,1.67,0.715,0.726,3.38,3.47,9.45,9.03,3.24,3.04,2.51,2.38,1.34,1.32
50,14,11,m,44.19,1.68,1.74,0.653,0.637,3.2,3.12,8.51,8.95,2.94,3.09,2.39,2.48,1.17,1.17
50,14,13,m,45.58,1.79,1.71,0.767,0.755,3.15,3.17,9.52,9.52,3.07,3.01,2.91,2.9,1.27,1.34
64,1,3,f,207.2,2.45,3,1.17,0.977,4.94,4.82,13.56,14.55,4.51,4.48,2.65,2.91,2.51,2.6
64,1,5,f,181.1,2.7,2.62,1.38,1.25,4.98,4.93,12.51,12.76,4.7,4.93,3.18,3.13,2.75,2.56
64,1,6,f,191.1,2.61,2.64,1.31,1.44,5.29,5.3,13.77,13.45,4.9,4.69,3.97,3.92,2.31,2.3
64,1,7,f,211.2,2.64,2.66,1.07,1.01,5.05,5.2,14.97,13.59,4.88,4.79,3.79,3.69,2.12,1.95
64,1,9,f,193.8,2.69,2.63,1.13,1.18,4.96,5.16,13.37,13.44,4.52,4.83,3.64,3.53,2.14,2.32
64,1,10,f,202.2,2.92,2.77,1.13,1.09,5.13,5.03,13.73,14.27,5.03,5.04,3.39,3.73,2.43,2.31
